"Date","Open","High","Low","Close","Volume"
"01/21/2022","2999","3018","2841.408","2852.86","8,198,572"
"01/20/2022","3135.32","3160","3027.02","3033.35","3,598,666"
"01/19/2022","3175.24","3185","3125","3125.98","2,662,096"
"01/18/2022","3182.1","3194.6899","3153.29","3178.35","3,372,072"
"01/14/2022","3203","3245","3196.01","3242.76","2,298,743"
"01/13/2022","3305.01","3324.4299","3221.82","3224.28","2,609,415"
"01/12/2022","3331.5","3337.56","3288.34","3304.14","2,501,456"
"01/11/2022","3230","3327","3214.03","3307.24","3,140,279"
"01/10/2022","3211.71","3233.23","3126.09","3229.72","4,389,915"
"01/07/2022","3276.78","3304.865","3240.62","3251.08","2,330,295"
"01/06/2022","3269.01","3296","3238.7442","3265.08","2,597,889"
"01/05/2022","3337.66","3342.525","3287.14","3287.14","3,215,136"
"01/04/2022","3408.76","3428","3326.99","3350.44","3,536,258"
"01/03/2022","3351","3414.07","3323.21","3408.09","3,193,457"
"12/31/2021","3379.12","3387","3331.17","3334.34","2,391,519"
"12/30/2021","3394","3417.76","3370.48","3372.89","1,879,155"
"12/29/2021","3416.8","3424.24","3372.0101","3384.02","1,787,702"
"12/28/2021","3403.65","3443.5176","3382.71","3413.22","2,735,593"
"12/27/2021","3420.74","3458.86","3384.31","3393.39","2,942,341"
"12/23/2021","3408.56","3439.5","3403","3421.37","1,839,412"
"12/22/2021","3385.395","3441","3370.01","3420.74","2,751,773"
"12/21/2021","3357.01","3414.3299","3312.95","3408.34","2,797,791"
"12/20/2021","3337","3357.4851","3312","3341.58","2,868,633"
"12/17/2021","3354.21","3417.97","3312.271","3400.35","4,287,758"
"12/16/2021","3467.371","3483.32","3363.205","3377.42","3,043,842"
"12/15/2021","3371.96","3472","3303.9","3466.3","3,789,713"
"12/14/2021","3351","3389.98","3328.8","3381.83","2,798,764"
"12/13/2021","3440","3442","3382.6","3391.35","3,108,450"
"12/10/2021","3508.34","3518.54","3410","3444.24","3,034,488"
"12/09/2021","3515","3539.39","3482.79","3483.42","2,303,091"
"12/08/2021","3523.01","3543.6","3495.01","3523.16","2,262,683"
"12/07/2021","3492","3549.99","3466.69","3523.29","3,320,536"
"12/06/2021","3393","3473.91","3338.69","3427.37","3,443,000"
"12/03/2021","3455","3469.865","3338.6","3389.79","4,035,550"
"12/02/2021","3460","3492.7","3423.75","3437.36","3,236,288"
"12/01/2021","3545","3559.88","3441.6","3443.72","3,756,995"
"11/30/2021","3563.5","3585.77","3492.01","3507.07","4,001,107"
"11/29/2021","3547.6443","3596","3531.5001","3561.57","3,265,557"
"11/26/2021","3602.095","3633.5","3504.15","3504.56","2,991,297"
"11/24/2021","3562.67","3613.64","3536.85","3580.41","2,328,018"
"11/23/2021","3585.04","3621.05","3527.71","3580.04","3,692,246"
"11/22/2021","3676.377","3713.455","3567.5","3572.57","4,847,850"
"11/19/2021","3712.69","3762.145","3675.72","3676.57","4,946,203"
"11/18/2021","3566.35","3704.2","3561","3696.06","5,703,538"
"11/17/2021","3564.72","3587.245","3545.35","3549","2,560,270"
"11/16/2021","3539","3576.5","3525.1466","3540.7","2,217,071"
"11/15/2021","3537","3593.88","3525.81","3545.68","2,929,719"
"11/12/2021","3485","3540.7262","3447.05","3525.15","2,689,434"
"11/11/2021","3513","3543.24","3467.47","3472.5","2,264,406"
"11/10/2021","3563.87","3605.45","3463.09","3482.05","4,027,422"
"11/09/2021","3515.25","3593.77","3501.425","3576.23","4,294,922"
"11/08/2021","3523.24","3579","3487.86","3488.98","3,073,992"
"11/05/2021","3477","3566.25","3476.98","3518.99","4,996,951"
"11/04/2021","3370","3498.625","3365.0001","3477","5,353,020"
"11/03/2021","3309","3394.92","3297.52","3384","3,397,189"
"11/02/2021","3315.01","3331.115","3283.55","3312.75","2,627,590"
"11/01/2021","3361.8","3375.86","3292.02","3318.11","3,608,879"
"10/29/2021","3300.02","3374.82","3273.32","3372.43","6,486,077"
"10/28/2021","3402.095","3479","3386","3446.57","5,708,733"
"10/27/2021","3388","3437","3371.4534","3392.49","2,702,224"
"10/26/2021","3349.51","3416.12","3343.98","3376.07","2,698,342"
"10/25/2021","3335","3347.7997","3297.7","3320.37","2,225,956"
"10/22/2021","3421","3429.84","3331.3","3335.55","3,139,053"
"10/21/2021","3414.25","3440.28","3403","3435.01","1,881,385"
"10/20/2021","3452.66","3462.86","3400.37","3415.06","2,139,777"
"10/19/2021","3434.29","3454.69","3422","3444.15","2,386,079"
"10/18/2021","3388.358","3449.17","3385.1","3446.74","3,174,115"
"10/15/2021","3311.42","3410.42","3304","3409.02","5,179,941"
"10/14/2021","3302.454","3312.6","3290.78","3299.86","2,112,020"
"10/13/2021","3269.71","3288.38","3261.0889","3284.28","2,425,086"
"10/12/2021","3257","3267.528","3236.28","3247.33","1,819,571"
"10/11/2021","3275","3292.5899","3238.1","3246.3","2,034,203"
"10/08/2021","3317","3321.43","3288.2","3288.62","1,998,217"
"10/07/2021","3291.54","3325.746","3283.06","3302.43","2,409,075"
"10/06/2021","3213.53","3264.34","3198.62","3262.01","2,532,977"
"10/05/2021","3204.5","3260.73","3202.464","3221","3,269,208"
"10/04/2021","3279.39","3279.99","3176.25","3189.78","4,523,057"
"10/01/2021","3289.01","3309.1746","3255.94","3283.26","2,835,617"
"09/30/2021","3316","3327.85","3273.99","3285.04","2,847,033"
"09/29/2021","3322.11","3351.3","3297.87","3301.12","2,562,268"
"09/28/2021","3357.71","3369.19","3290.1001","3315.96","4,430,819"
"09/27/2021","3371.5","3415.57","3339.61","3405.8","3,634,450"
"09/24/2021","3402.01","3429.26","3393.4","3425.52","2,116,241"
"09/23/2021","3380.05","3428.96","3380.05","3416","2,379,414"
"09/22/2021","3351","3389","3341.05","3380.05","2,411,403"
"09/21/2021","3375","3379.7","3332.39","3343.63","2,780,878"
"09/20/2021","3396","3419","3305.01","3355.73","4,669,130"
"09/17/2021","3488.415","3497.41","3452.13","3462.52","4,616,556"
"09/16/2021","3459.96","3492.55","3446.1432","3488.24","2,583,598"
"09/15/2021","3442.52","3485.42","3402.01","3475.79","2,957,537"
"09/14/2021","3475.55","3486.806","3437.7104","3450","1,936,897"
"09/13/2021","3482.8","3497.96","3438.0001","3457.17","2,569,022"
"09/10/2021","3501.8308","3508.45","3462.9055","3469.15","2,397,269"
"09/09/2021","3526.02","3549.99","3480.37","3484.16","2,719,241"
"09/08/2021","3511.65","3545.63","3495.67","3525.5","3,053,364"
"09/07/2021","3478","3528.09","3476.94","3509.29","2,741,184"
"09/03/2021","3452","3482.67","3436.44","3478.05","2,578,324"
"09/02/2021","3494.76","3511.9608","3455","3463.12","2,925,594"
"09/01/2021","3496.396","3527","3475.24","3479","3,629,911"
"08/31/2021","3424.8","3472.58","3395.59","3470.79","4,356,413"
"08/30/2021","3357.425","3445","3355.22","3421.57","3,192,244"
"08/27/2021","3333.23","3352.32","3313.75","3349.63","2,402,369"
"08/26/2021","3299","3332","3296","3316","2,098,761"
