"Date","Open","High","Low","Close","Volume"
"01/21/2022","302.685","304.11","295.61","296.03","57,984,400"
"01/20/2022","309.07","311.6494","301.14","301.6","35,380,680"
"01/19/2022","306.29","313.9093","302.7","303.33","45,933,860"
"01/18/2022","304.07","309.8","301.74","302.65","42,434,110"
"01/14/2022","304.25","310.82","303.75","310.2","39,846,410"
"01/13/2022","320.466","320.88","304","304.8","45,365,980"
"01/12/2022","319.67","323.41","317.08","318.27","34,372,220"
"01/11/2022","313.38","316.61","309.89","314.98","29,386,770"
"01/10/2022","309.485","314.72","304.69","314.27","44,289,470"
"01/07/2022","314.15","316.5","310.09","314.04","32,720,020"
"01/06/2022","313.15","318.7","311.49","313.88","39,646,150"
"01/05/2022","325.86","326.07","315.98","316.38","40,054,330"
"01/04/2022","334.83","335.2","326.12","329.01","32,674,310"
"01/03/2022","335.35","338","329.78","334.75","28,918,010"
"12/31/2021","338.51","339.355","335.85","336.32","18,000,800"
"12/30/2021","341.91","343.13","338.82","339.32","15,994,470"
"12/29/2021","341.3","344.3","339.68","341.95","15,041,960"
"12/28/2021","343.15","343.81","340.32","341.25","15,661,470"
"12/27/2021","335.46","342.48","335.43","342.45","19,947,030"
"12/23/2021","332.75","336.39","332.73","334.69","19,617,850"
"12/22/2021","328.3","333.605","325.75","333.2","24,831,490"
"12/21/2021","323.29","327.73","319.8","327.29","24,740,600"
"12/20/2021","320.05","322.8","317.57","319.91","28,326,530"
"12/17/2021","320.88","324.92","317.25","323.8","47,983,710"
"12/16/2021","335.71","336.76","323.02","324.9","35,034,830"
"12/15/2021","328.61","335.19","324.5","334.65","35,381,120"
"12/14/2021","333.22","334.64","324.11","328.34","44,438,700"
"12/13/2021","340.68","343.79","339.08","339.4","28,899,430"
"12/10/2021","334.98","343","334.79","342.54","38,095,690"
"12/09/2021","334.41","336.489","332.12","333.1","22,214,160"
"12/08/2021","335.31","335.5","330.8","334.97","24,760,990"
"12/07/2021","331.64","335.8","330.1","334.92","31,021,940"
"12/06/2021","323.95","327.45","319.23","326.19","30,032,560"
"12/03/2021","331.99","332.7","318.03","323.01","41,779,280"
"12/02/2021","330.3","333.49","327.8028","329.49","30,765,980"
"12/01/2021","335.13","339.28","329.39","330.08","33,401,150"
"11/30/2021","335.32","337.78","328.99","330.59","42,885,610"
"11/29/2021","334.94","339.03","334.74","336.63","28,563,480"
"11/26/2021","334.35","337.93","328.12","329.68","24,217,240"
"11/24/2021","336.28","338.16","333.911","337.91","21,661,310"
"11/23/2021","337.05","339.45","333.56","337.68","30,427,560"
"11/22/2021","344.62","349.67","339.55","339.83","31,031,110"
"11/19/2021","342.64","345.1","342.2","343.11","21,963,400"
"11/18/2021","338.18","342.45","337.12","341.27","22,463,530"
"11/17/2021","338.94","342.19","338","339.12","19,053,380"
"11/16/2021","335.68","340.67","335.51","339.51","20,886,830"
"11/15/2021","337.54","337.88","334.034","336.07","16,723,010"
"11/12/2021","333.92","337.23","333.79","336.72","23,831,050"
"11/11/2021","331.25","333.7746","330.51","332.43","16,849,840"
"11/10/2021","334.57","334.6303","329.92","330.8","25,500,940"
"11/09/2021","337.107","338.72","334.53","335.95","21,307,370"
"11/08/2021","337.3","337.65","334.44","336.99","20,897,000"
"11/05/2021","338.51","338.79","334.4217","336.06","22,570,100"
"11/04/2021","332.89","336.54","329.51","336.44","23,992,200"
"11/03/2021","333.9","334.9","330.65","334","21,500,080"
"11/02/2021","330.31","333.45","330","333.13","26,487,110"
"11/01/2021","331.355","331.49","326.37","329.37","27,073,180"
"10/29/2021","324.13","332","323.9","331.62","34,765,980"
"10/28/2021","324.325","324.87","321.3601","324.35","26,297,940"
"10/27/2021","316","326.0973","316","323.17","52,588,690"
"10/26/2021","311","312.395","308.5967","310.11","28,107,350"
"10/25/2021","309.36","309.4","306.46","308.13","17,554,470"
"10/22/2021","310.4","311.09","307.8","309.16","17,449,330"
"10/21/2021","307.17","311.02","306.36","310.76","16,918,100"
"10/20/2021","309.21","309.7","306.11","307.41","16,537,070"
"10/19/2021","308.348","309.3","307.22","308.23","17,682,140"
"10/18/2021","303.57","308.21","302.69","307.29","22,729,300"
"10/15/2021","302.34","304.45","300.5191","304.21","25,384,800"
"10/14/2021","299.21","303.27","297.83","302.75","27,262,900"
"10/13/2021","294.91","297.28","293.49","296.31","23,424,030"
"10/12/2021","295.34","295.44","292.35","292.88","17,974,140"
"10/11/2021","292.92","297.97","292.745","294.23","19,298,630"
"10/08/2021","296.219","296.6409","293.76","294.85","17,685,700"
"10/07/2021","295.175","296.64","293.92","294.85","20,430,470"
"10/06/2021","285.78","293.63","285.5093","293.11","28,002,560"
"10/05/2021","284.0464","290.398","284.0464","288.76","24,993,020"
"10/04/2021","287.4","287.75","280.25","283.11","31,350,750"
"10/01/2021","282.122","289.98","281.29","289.1","30,086,280"
"09/30/2021","285.71","287.83","281.62","281.92","32,343,640"
"09/29/2021","285.1","286.77","283.01","284","26,353,700"
"09/28/2021","289.795","290.78","282.75","283.52","43,186,240"
"09/27/2021","296.14","296.47","292.9449","294.17","23,571,740"
"09/24/2021","298.23","299.8","296.93","299.35","14,998,980"
"09/23/2021","298.845","300.9","297.5339","299.56","18,604,600"
"09/22/2021","296.725","300.22","294.51","298.58","26,626,340"
"09/21/2021","295.69","297.54","294.07","294.8","22,364,100"
"09/20/2021","296.33","298.72","289.52","294.3","38,278,660"
"09/17/2021","304.17","304.5","299.53","299.87","41,372,460"
"09/16/2021","303.76","305.31","300.76","305.22","19,550,820"
"09/15/2021","303.26","305.32","301.82","304.82","28,356,300"
